Destination Country,Destination City/Port,"ORIGIN                       (Port of Loading)          3 Only -        Toronto, Montreal, Vancouver",DESTINATION                (Port of Unloading)   Various,Sailing Frequency,Transit Time (Days)             (Port to Port),Ocean Freight Charges PER CBM Rate (USD),(Minimim Ocean Freight Charges/ shipment)
CAMBODIA (KAMPUCHEA),PHNOM PENH VIA SINGAPORE,Toronto,PNH,Weekly,35,155,155
CAMBODIA (KAMPUCHEA),PHNOM PENH VIA SINGAPORE,Vancouver,PNH,Weekly,35,155,155
CAMEROON,DOUALA VIA ANTWERP,Montreal,DLA,Weekly,38,259.5,259.5
CAMEROON,DOUALA VIA ANTWERP,Toronto,DLA,Weekly,38,264.5,264.5
CAMEROON,DOUALA VIA ANTWERP,Vancouver,DLA,Weekly,38,329.5,374.5
CANARY ISLANDS,LAS PALMAS  VIA ANTWERP,Montreal,LPA,Weekly,20,177,177
CANARY ISLANDS,LAS PALMAS  VIA ANTWERP,Toronto,LPA,Weekly,20,182,182
CANARY ISLANDS,LAS PALMAS  VIA ANTWERP,Vancouver,LPA,Weekly,20,217,217
CANARY ISLANDS,SANTA CRUZ DE TENERIFE VIA BARCELONA,Montreal,SCT,Weekly,34,219.5,229.5
CANARY ISLANDS,SANTA CRUZ DE TENERIFE VIA BARCELONA,Toronto,SCT,Weekly,34,224.5,234.5
CANARY ISLANDS,SANTA CRUZ DE TENERIFE VIA BARCELONA,Vancouver,SCT,Weekly,34,274.5,289.5
CAYMAN ISLANDS,"GEORGETOWN, GC VIA MIAMI",Montreal,GEC,Weekly,5,245,245
CAYMAN ISLANDS,"GEORGETOWN, GC VIA MIAMI",Toronto,GEC,Weekly,5,245,245
CAYMAN ISLANDS,"GEORGETOWN, GC VIA MIAMI",Vancouver,GEC,Weekly,5,300,300
CHILE,ANTOFAGASTA VIA SAN ANTONIO,Montreal,ANF,Weekly,28,250,250
CHILE,ANTOFAGASTA VIA SAN ANTONIO,Toronto,ANF,Weekly,28,250,250
CHILE,ANTOFAGASTA VIA SAN ANTONIO,Vancouver,ANF,Weekly,28,320,320
CHILE,ARICA VIA SAN ANTONIO,Montreal,ARI,Weekly,29,220,220
CHILE,ARICA VIA SAN ANTONIO,Toronto,ARI,Weekly,29,220,220
CHILE,ARICA VIA SAN ANTONIO,Vancouver,ARI,Weekly,29,285,365
CHILE,IQUIQUE VIA SAN ANTONIO,Montreal,IQQ,Weekly,29,255,255
