Destination Country,Destination City/Port,"ORIGIN                       (Port of Loading)          3 Only -        Toronto, Montreal, Vancouver",DESTINATION                (Port of Unloading)   Various,Sailing Frequency,Transit Time (Days)             (Port to Port),Ocean Freight Charges PER CBM Rate (USD),(Minimim Ocean Freight Charges/ shipment)
PAPUA NEW GUINEA,WEWAK VIA SINGAPORE,Vancouver,WWK,Weekly,60,825,925
PARAGUAY,ASUNCION VIA MIAMI/MVD,Montreal,ASU,Weekly,34,255,255
PARAGUAY,ASUNCION VIA MIAMI/MVD,Toronto,ASU,Weekly,34,255,255
PARAGUAY,ASUNCION VIA MIAMI/MVD,Vancouver,ASU,Weekly,34,305,330
PERU,CALLAO VIA MIAMI,Vancouver,CAL,Weekly,27,225,225
PERU,CALLAO VIA NEW YORK,Montreal,CAL,Weekly,19,190,190
PERU,CALLAO VIA NEW YORK,Toronto,CAL,Weekly,19,190,190
PHILIPPINES,CEBU VIA SINGAPORE,Montreal,CEB,Weekly,36,125,125
PHILIPPINES,CEBU VIA SINGAPORE,Toronto,CEB,Weekly,36,125,125
PHILIPPINES,CEBU VIA SINGAPORE,Vancouver,CEB,Weekly,36,100,100
PHILIPPINES,DAVAO VIA SINGAPORE,Montreal,DVO,Weekly,37,200,200
PHILIPPINES,DAVAO VIA SINGAPORE,Toronto,DVO,Weekly,37,200,200
PHILIPPINES,DAVAO VIA SINGAPORE,Vancouver,DVO,Weekly,37,190,190
PHILIPPINES,MANILA NORTH HARBOUR VIA SINGAPORE,Montreal,MNN,Weekly,35,100,100
PHILIPPINES,MANILA NORTH HARBOUR VIA SINGAPORE,Toronto,MNN,Weekly,35,100,100
PHILIPPINES,MANILA NORTH HARBOUR VIA SINGAPORE,Vancouver,MNN,Weekly,35,80,80
PHILIPPINES,MANILA SOUTH HARBOUR VIA SINGAPORE,Montreal,MNL,Weekly,35,100,100
PHILIPPINES,MANILA SOUTH HARBOUR VIA SINGAPORE,Toronto,MNL,Weekly,35,100,100
PHILIPPINES,MANILA SOUTH HARBOUR VIA SINGAPORE,Vancouver,MNL,Weekly,35,80,80
POLAND,GDANSK VIA HAMBURG / GDYNIA,Montreal,GDN,Weekly,14,189.5,189.5
POLAND,GDANSK VIA HAMBURG / GDYNIA,Toronto,GDN,Weekly,14,194.5,194.5
POLAND,GDANSK VIA HAMBURG / GDYNIA,Vancouver,GDN,Weekly,14,239.5,239.5
POLAND,GDYNIA VIA HAMBURG,Montreal,GDY,Weekly,19,159.5,159.5
POLAND,GDYNIA VIA HAMBURG,Toronto,GDY,Weekly,19,164.5,164.5
POLAND,GDYNIA VIA HAMBURG,Vancouver,GDY,Weekly,19,224.5,224.5
POLAND,KATOWICE VIA HAMBURG / GDYNIA,Montreal,KTW,Weekly,21,199.5,274.5
POLAND,KATOWICE VIA HAMBURG / GDYNIA,Toronto,KTW,Weekly,21,204.5,279.5
POLAND,KATOWICE VIA HAMBURG / GDYNIA,Vancouver,KTW,Weekly,21,254.5,329.5
POLAND,KRAKOW VIA HAMBURG / GDYNIA,Montreal,KRW,Weekly,21,199.5,264.5
POLAND,KRAKOW VIA HAMBURG / GDYNIA,Toronto,KRW,Weekly,21,204.5,269.5
POLAND,KRAKOW VIA HAMBURG / GDYNIA,Vancouver,KRW,Weekly,21,244.5,324.5
POLAND,POZNAN VIA HAMBURG / GDYNIA,Montreal,POZ,Weekly,21,219.5,399.5
POLAND,POZNAN VIA HAMBURG / GDYNIA,Toronto,POZ,Weekly,21,224.5,404.5
POLAND,POZNAN VIA HAMBURG / GDYNIA,Vancouver,POZ,Weekly,21,269.5,469.5
POLAND,WARSAW VIA HAMBURG / GDYNIA,Montreal,WAW,Weekly,18,164.5,204.5
POLAND,WARSAW VIA HAMBURG / GDYNIA,Toronto,WAW,Weekly,18,169.5,209.5
POLAND,WARSAW VIA HAMBURG / GDYNIA,Vancouver,WAW,Weekly,18,219.5,259.5
PORTUGAL,LISBON VIA BARCELONA,Montreal,LIS,Weekly,31,144.5,144.5
PORTUGAL,LISBON VIA BARCELONA,Toronto,LIS,Weekly,31,149.5,149.5
PORTUGAL,LISBON VIA BARCELONA,Vancouver,LIS,Weekly,31,189.5,189.5
PORTUGAL,OPORTO VIA BARCELONA,Montreal,OPO,Weekly,31,149.5,149.5
PORTUGAL,OPORTO VIA BARCELONA,Toronto,OPO,Weekly,31,154.5,154.5
PORTUGAL,OPORTO VIA BARCELONA,Vancouver,OPO,Weekly,31,199.5,199.5
PUERTO RICO,SAN JUAN VIA MIAMI ,Vancouver,SJU,Weekly,3,265,265
PUERTO RICO,SAN JUAN VIA NEW YORK,Montreal,SJU,Weekly,3,177.5,177.5
PUERTO RICO,SAN JUAN VIA NEW YORK,Toronto,SJU,Weekly,3,177.5,177.5
QATAR,DOHA VIA DUBAI,Montreal,DOH,Weekly,30,162,162
QATAR,DOHA VIA DUBAI,Toronto,DOH,Weekly,30,162,162
QATAR,DOHA VIA DUBAI,Vancouver,DOH,Weekly,30,212,212
REPUBLIC OF SOUTH AFRICA,CAPE TOWN VIA ANTWERP,Montreal,CPT,Weekly,32,184.5,184.5
REPUBLIC OF SOUTH AFRICA,CAPE TOWN VIA ANTWERP,Toronto,CPT,Weekly,32,189.5,189.5
REPUBLIC OF SOUTH AFRICA,CAPE TOWN VIA SINGAPORE,Vancouver,CPT,Weekly,45,150,150
REPUBLIC OF SOUTH AFRICA,DURBAN VIA ANTWERP,Montreal,DUR,Weekly,37,199.5,199.5
REPUBLIC OF SOUTH AFRICA,DURBAN VIA ANTWERP,Toronto,DUR,Weekly,37,204.5,204.5
REPUBLIC OF SOUTH AFRICA,DURBAN VIA SINGAPORE,Vancouver,DUR,Weekly,45,145,145
REPUBLIC OF SOUTH AFRICA,EAST LONDON VIA ANTWERP,Montreal,ESL,Weekly,39,272,322
REPUBLIC OF SOUTH AFRICA,EAST LONDON VIA ANTWERP,Toronto,ESL,Weekly,39,277,327
REPUBLIC OF SOUTH AFRICA,EAST LONDON VIA ANTWERP,Vancouver,ESL,Weekly,39,327,377
REPUBLIC OF SOUTH AFRICA,JOHANNESBURG VIA ANTWERP,Montreal,JNB,Weekly,41,214.5,214.5
REPUBLIC OF SOUTH AFRICA,JOHANNESBURG VIA ANTWERP,Toronto,JNB,Weekly,41,219.5,219.5
REPUBLIC OF SOUTH AFRICA,JOHANNESBURG VIA SINGAPORE,Vancouver,JNB,Weekly,52,175,175
REPUBLIC OF SOUTH AFRICA,PORT ELIZABETH VIA ANTWERP,Montreal,PLZ,Weekly,35,194.5,194.5
REPUBLIC OF SOUTH AFRICA,PORT ELIZABETH VIA ANTWERP,Toronto,PLZ,Weekly,35,199.5,199.5
REPUBLIC OF SOUTH AFRICA,PORT ELIZABETH VIA SINGAPORE,Vancouver,PLZ,Weekly,52,205,270
REPUBLIC OF SOUTH AFRICA,PRETorontoIA VIA ANTWERP,Montreal,PRY,Weekly,42,339.5,414.5
REPUBLIC OF SOUTH AFRICA,PRETorontoIA VIA ANTWERP,Toronto,PRY,Weekly,42,344.5,419.5
REPUBLIC OF SOUTH AFRICA,PRETorontoIA VIA ANTWERP,Vancouver,PRY,Weekly,42,399.5,469.5
REUNION,POINTE DES GALETS VIA ANTWERP,Montreal,PDS,Weekly,32,279.5,279.5
REUNION,POINTE DES GALETS VIA ANTWERP,Toronto,PDS,Weekly,32,284.5,284.5
REUNION,POINTE DES GALETS VIA ANTWERP,Vancouver,PDS,Weekly,32,359.5,359.5
ROMANIA,BUCHAREST VIA HAMBURG,Montreal,BUC,Weekly,21,264.5,584.5
ROMANIA,BUCHAREST VIA HAMBURG,Toronto,BUC,Weekly,21,269.5,589.5
ROMANIA,BUCHAREST VIA HAMBURG,Vancouver,BUC,Weekly,21,324.5,639.5
RUSSIA,MOSCOW VIA HAMBURG/TALLIN,Montreal,MOW,Weekly,26,244.5,444.5
RUSSIA,MOSCOW VIA HAMBURG/TALLIN,Toronto,MOW,Weekly,26,249.5,449.5
RUSSIA,MOSCOW VIA HAMBURG/TALLIN,Vancouver,MOW,Weekly,26,264.5,499.5
RUSSIA,ST. PETERSBURG VIA HAMBURG,Montreal,STP,Weekly,21,179.5,179.5
RUSSIA,ST. PETERSBURG VIA HAMBURG,Toronto,STP,Weekly,21,184.5,184.5
RUSSIA,ST. PETERSBURG VIA HAMBURG,Vancouver,STP,Weekly,21,229.5,229.5
RWANDA,KIGALI VIA DUBAI/MOMBASA,Montreal,KGL,Weekly,56,712,712
RWANDA,KIGALI VIA DUBAI/MOMBASA,Toronto,KGL,Weekly,56,712,712
RWANDA,KIGALI VIA DUBAI/MOMBASA,Vancouver,KGL,Weekly,56,742,742
SAMOA,APIA VIA AUCKLAND,Montreal,APW,Bi Weekly,40,370,370
SAMOA,APIA VIA AUCKLAND,Toronto,APW,Bi Weekly,40,370,370
SAMOA,APIA VIA AUCKLAND,Vancouver,APW,Bi Weekly,40,390,390
SAMOA,APIA VIA SINGAPORE/AUCKLAND,Montreal,APW,Weekly,37,375,375
SAMOA,APIA VIA SINGAPORE/AUCKLAND,Toronto,APW,Weekly,37,400,400
SAMOA,APIA VIA SINGAPORE/AUCKLAND,Vancouver,APW,Weekly,37,380,380
SAMOA,PAGO PAGO VIA AUCKLAND,Montreal,PPG,Bi Weekly,41,430,430
SAMOA,PAGO PAGO VIA AUCKLAND,Toronto,PPG,Bi Weekly,41,430,430
SAMOA,PAGO PAGO VIA AUCKLAND,Vancouver,PPG,Bi Weekly,41,420,420
SAMOA,PAGO PAGO VIA SINGAPORE/AUCKLAND,Montreal,PPG,Weekly,37,380,380
SAMOA,PAGO PAGO VIA SINGAPORE/AUCKLAND,Toronto,PPG,Weekly,37,395,395
SAMOA,PAGO PAGO VIA SINGAPORE/AUCKLAND,Vancouver,PPG,Weekly,37,375,375
SAUDI ARABIA,DAMMAM VIA DUBAI,Montreal,DMM,Weekly,27,157,157
SAUDI ARABIA,DAMMAM VIA DUBAI,Toronto,DMM,Weekly,27,157,157
SAUDI ARABIA,DAMMAM VIA DUBAI,Vancouver,DMM,Weekly,27,207,207
SAUDI ARABIA,JEDDAH VIA DUBAI,Montreal,JED,Weekly,36,142,142
SAUDI ARABIA,JEDDAH VIA DUBAI,Toronto,JED,Weekly,36,147,147
SAUDI ARABIA,JEDDAH VIA DUBAI,Vancouver,JED,Weekly,36,197,197
SAUDI ARABIA,JEDDAH VIA NEW YORK,Montreal,JED,Weekly,26,157,157
SAUDI ARABIA,JEDDAH VIA NEW YORK,Toronto,JED,Weekly,26,157,157
SAUDI ARABIA,JEDDAH VIA NEW YORK,Vancouver,JED,Weekly,26,207,207
SAUDI ARABIA,RIYADH VIA DUBAI,Montreal,RUH,Weekly,33,157,157
SAUDI ARABIA,RIYADH VIA DUBAI,Toronto,RUH,Weekly,33,157,157
SAUDI ARABIA,RIYADH VIA DUBAI,Vancouver,RUH,Weekly,33,207,207
SENEGAL,DAKAR VIA ANTWERP,Montreal,DKR,Weekly,30,324.5,324.5
SENEGAL,DAKAR VIA ANTWERP,Toronto,DKR,Weekly,30,329.5,329.5
SENEGAL,DAKAR VIA ANTWERP,Vancouver,DKR,Weekly,30,379.5,504.5
SEYCHELLES,MAHE VIA SINGAPORE,Montreal,SEZ,Weekly,58,275,275
SEYCHELLES,MAHE VIA SINGAPORE,Toronto,SEZ,Weekly,58,275,275
SEYCHELLES,MAHE VIA SINGAPORE,Vancouver,SEZ,Weekly,58,270,270
SIERRA LEONE,FREETOWN VIA ANTWERP,Montreal,FNA,Weekly,35,319.5,319.5
SIERRA LEONE,FREETOWN VIA ANTWERP,Toronto,FNA,Weekly,35,324.5,324.5
SIERRA LEONE,FREETOWN VIA ANTWERP,Vancouver,FNA,Weekly,35,364.5,364.5
SINGAPORE,SINGAPORE,Montreal,SIN,Weekly,24,100,100
SINGAPORE,SINGAPORE,Toronto,SIN,Weekly,24,100,100
SINGAPORE,SINGAPORE,Vancouver,SIN,Weekly,24,95,95
SLOVAKIA,BRATISLAVA VIA HAMBURG,Montreal,BTS,Weekly,21,139.5,284.5
SLOVAKIA,BRATISLAVA VIA HAMBURG,Toronto,BTS,Weekly,21,144.5,289.5
SLOVAKIA,BRATISLAVA VIA HAMBURG,Vancouver,BTS,Weekly,21,204.5,324.5
SLOVENIA,KOPER VIA HAMBURG,Montreal,KOP,Weekly,19,184.5,304.5
SLOVENIA,KOPER VIA HAMBURG,Toronto,KOP,Weekly,19,189.5,309.5
SLOVENIA,KOPER VIA HAMBURG,Vancouver,KOP,Weekly,19,259.5,359.5
SLOVENIA,LJUBLJANA VIA HAMBURG,Montreal,LJU,Weekly,19,209.5,334.5
SLOVENIA,LJUBLJANA VIA HAMBURG,Toronto,LJU,Weekly,19,214.5,339.5
SLOVENIA,LJUBLJANA VIA HAMBURG,Vancouver,LJU,Weekly,19,249.5,384.5
SOLOMON ISLANDS,HONIARA VIA AUCKLAND,Montreal,HON,Bi Weekly,58,435,475
SOLOMON ISLANDS,HONIARA VIA AUCKLAND,Toronto,HON,Bi Weekly,58,435,475
SOLOMON ISLANDS,HONIARA VIA AUCKLAND,Vancouver,HON,Bi Weekly,58,455,505
SOLOMON ISLANDS,HONIARA VIA SINGAPORE/AUCKLAND,Montreal,HON,Bi Weekly,79,415,415
SOLOMON ISLANDS,HONIARA VIA SINGAPORE/AUCKLAND,Toronto,HON,Bi Weekly,79,425,425
SOLOMON ISLANDS,HONIARA VIA SINGAPORE/AUCKLAND,Vancouver,HON,Bi Weekly,79,415,415
SOUTH-KOREA,BUSAN,Montreal,PUS,Weekly,14,100,100
SOUTH-KOREA,BUSAN,Toronto,PUS,Weekly,14,100,100
SOUTH-KOREA,BUSAN,Vancouver,PUS,Weekly,14,95,95
SOUTH-KOREA,INCHON VIA BUSAN,Montreal,INO,Weekly,18,135,135
SOUTH-KOREA,INCHON VIA BUSAN,Toronto,INO,Weekly,18,135,135
SOUTH-KOREA,INCHON VIA BUSAN,Vancouver,INO,Weekly,18,150,150
SOUTH-KOREA,SEOUL VIA PUSAN,Montreal,SEL,Weekly,18,150,150
SOUTH-KOREA,SEOUL VIA PUSAN,Toronto,SEL,Weekly,18,150,150
SOUTH-KOREA,SEOUL VIA PUSAN,Vancouver,SEL,Weekly,18,155,155
SPAIN (incl. Balearic Islands),BARCELONA,Montreal,BCN,Weekly,21,102,102
SPAIN (incl. Balearic Islands),BARCELONA,Toronto,BCN,Weekly,21,107,107
SPAIN (incl. Balearic Islands),BARCELONA,Vancouver,BCN,Weekly,21,147,147
SPAIN (incl. Balearic Islands),BILBAO VIA BARCELONA,Montreal,BIO,Weekly,29,154.5,154.5
SPAIN (incl. Balearic Islands),BILBAO VIA BARCELONA,Toronto,BIO,Weekly,29,159.5,159.5
SPAIN (incl. Balearic Islands),BILBAO VIA BARCELONA,Vancouver,BIO,Weekly,29,209.5,209.5
SPAIN (incl. Balearic Islands),CADIZ VIA BARCELONA,Montreal,CAD,Weekly,31,224.5,224.5
SPAIN (incl. Balearic Islands),CADIZ VIA BARCELONA,Toronto,CAD,Weekly,31,229.5,229.5
SPAIN (incl. Balearic Islands),CADIZ VIA BARCELONA,Vancouver,CAD,Weekly,31,279.5,279.5
SPAIN (incl. Balearic Islands),IBIZA VIA BARCELONA,Montreal,IBL,Weekly,33,244.5,304.5
SPAIN (incl. Balearic Islands),IBIZA VIA BARCELONA,Toronto,IBL,Weekly,33,249.5,309.5
SPAIN (incl. Balearic Islands),IBIZA VIA BARCELONA,Vancouver,IBL,Weekly,40,299.5,359.5
SPAIN (incl. Balearic Islands),MADRID VIA BARCELONA,Montreal,MAD,Weekly,29,159.5,159.5
SPAIN (incl. Balearic Islands),MADRID VIA BARCELONA,Toronto,MAD,Weekly,29,164.5,164.5
SPAIN (incl. Balearic Islands),MADRID VIA BARCELONA,Vancouver,MAD,Weekly,29,199.5,199.5
SPAIN (incl. Balearic Islands),PALMA DE MALLORCA VIA BARCELONA,Montreal,PMI,Weekly,30,284.5,349.5
SPAIN (incl. Balearic Islands),PALMA DE MALLORCA VIA BARCELONA,Toronto,PMI,Weekly,30,294.5,354.5
SPAIN (incl. Balearic Islands),PALMA DE MALLORCA VIA BARCELONA,Vancouver,PMI,Weekly,30,339.5,414.5
SPAIN (incl. Balearic Islands),VALENCIA VIA BARCELONA,Montreal,VLC,Weekly,23,139.5,139.5
SPAIN (incl. Balearic Islands),VALENCIA VIA BARCELONA,Toronto,VLC,Weekly,23,144.5,144.5
SPAIN (incl. Balearic Islands),VALENCIA VIA BARCELONA,Vancouver,VLC,Weekly,23,184.5,184.5
SRI LANKA,COLOMBO VIA BUSAN,Vancouver,CMB,Weekly,38,130,165
SRI LANKA,COLOMBO VIA DUBAI,Montreal,CMB,Weekly,32,167,167
SRI LANKA,COLOMBO VIA DUBAI,Toronto,CMB,Weekly,32,167,167
ST. BARTHELEMY,ST. BARTHELEMY VIA MIAMI,Montreal,SBH,Weekly,7,340,400
ST. BARTHELEMY,ST. BARTHELEMY VIA MIAMI,Toronto,SBH,Weekly,7,340,400
ST. BARTHELEMY,ST. BARTHELEMY VIA MIAMI,Vancouver,SBH,Weekly,7,410,440
ST. KITTS,BASSETERRE VIA MIAMI,Montreal,BAS,Weekly,4,310,310
ST. KITTS,BASSETERRE VIA MIAMI,Toronto,BAS,Weekly,4,310,310
ST. KITTS,BASSETERRE VIA MIAMI,Vancouver,BAS,Weekly,4,365,365
ST. LUCIA,CASTRIES VIA MIAMI,Montreal,SLU,Weekly,7,285,285
ST. LUCIA,CASTRIES VIA MIAMI,Toronto,SLU,Weekly,7,285,285
ST. LUCIA,CASTRIES VIA MIAMI,Vancouver,SLU,Weekly,7,330,430
ST. MAARTEN,PHILIPSBURG VIA MIAMI,Montreal,SXM,Weekly,5,235,235
ST. MAARTEN,PHILIPSBURG VIA MIAMI,Toronto,SXM,Weekly,5,235,235
ST. MAARTEN,PHILIPSBURG VIA MIAMI,Vancouver,SXM,Weekly,5,285,285
ST. VINCENT,KINGSTOWN VIA MIAMI,Montreal,KTN,Weekly,7,250,250
ST. VINCENT,KINGSTOWN VIA MIAMI,Toronto,KTN,Weekly,7,245,245
ST. VINCENT,KINGSTOWN VIA MIAMI,Vancouver,KTN,Weekly,7,295,295
SUDAN,KHARTOUM VIA ANTWERP,Montreal,KRT,Bi Weekly,57,324.5,789.5
SUDAN,KHARTOUM VIA ANTWERP,Toronto,KRT,Bi Weekly,57,329.5,794.5
SUDAN,KHARTOUM VIA ANTWERP,Vancouver,KRT,Bi Weekly,64,379.5,844.5
SUDAN,PORT SUDAN VIA ANTWERP,Montreal,PZU,Bi Weekly,47,282,282
SUDAN,PORT SUDAN VIA ANTWERP,Toronto,PZU,Bi Weekly,47,287,287
SUDAN,PORT SUDAN VIA ANTWERP,Vancouver,PZU,Bi Weekly,54,337,337
SURINAME,PARAMARIBO VIA MIAMI,Montreal,PBM,Weekly,20,270,270
SURINAME,PARAMARIBO VIA MIAMI,Toronto,PBM,Weekly,20,270,270
SURINAME,PARAMARIBO VIA MIAMI,Vancouver,PBM,Weekly,20,350,350
SWEDEN,GOTHENBURG,Montreal,GOT,Weekly,14,114.5,114.5
SWEDEN,GOTHENBURG,Toronto,GOT,Weekly,14,119.5,119.5
SWEDEN,GOTHENBURG,Vancouver,GOT,Weekly,14,169.5,169.5
SWEDEN,HELSINGBORG VIA GOTHENBURG,Montreal,HSB,Weekly,18,144.5,144.5
SWEDEN,HELSINGBORG VIA GOTHENBURG,Toronto,HSB,Weekly,18,149.5,149.5
SWEDEN,HELSINGBORG VIA GOTHENBURG,Vancouver,HSB,Weekly,28,199.5,199.5
SWEDEN,MALMOE VIA GOTHENBURG,Montreal,MLM,Weekly,20,144.5,144.5
SWEDEN,MALMOE VIA GOTHENBURG,Toronto,MLM,Weekly,20,149.5,149.5
SWEDEN,MALMOE VIA GOTHENBURG,Vancouver,MLM,Weekly,30,199.5,199.5
SWEDEN,NORRKOPING VIA GOTHENBURG,Montreal,NRK,Weekly,16,174.5,174.5
SWEDEN,NORRKOPING VIA GOTHENBURG,Toronto,NRK,Weekly,16,179.5,179.5
SWEDEN,NORRKOPING VIA GOTHENBURG,Vancouver,NRK,Weekly,16,229.5,229.5
SWEDEN,STOCKHOLM VIA GOTHENBURG,Montreal,STO,Weekly,18,144.5,144.5
SWEDEN,STOCKHOLM VIA GOTHENBURG,Toronto,STO,Weekly,18,149.5,149.5
SWEDEN,STOCKHOLM VIA GOTHENBURG,Vancouver,STO,Weekly,28,209.5,254.5
SWITZERLAND,BASEL VIA HAMBURG,Montreal,BSL,Weekly,16,134.5,134.5
SWITZERLAND,BASEL VIA HAMBURG,Toronto,BSL,Weekly,16,139.5,139.5
SWITZERLAND,BASEL VIA HAMBURG,Vancouver,BSL,Weekly,16,199.5,284.5
SWITZERLAND,GENEVA VIA ANTWERP,Montreal,GVA,Weekly,16,164.5,194.5
SWITZERLAND,GENEVA VIA ANTWERP,Toronto,GVA,Weekly,16,169.5,199.5
SWITZERLAND,GENEVA VIA ANTWERP,Vancouver,GVA,Weekly,16,214.5,309.5
SWITZERLAND,ZURICH VIA HAMBURG,Montreal,ZRH,Weekly,16,144.5,144.5
SWITZERLAND,ZURICH VIA HAMBURG,Toronto,ZRH,Weekly,16,149.5,149.5
SWITZERLAND,ZURICH VIA HAMBURG,Vancouver,ZRH,Weekly,16,209.5,209.5
SYRIA,LATTAKIA VIA ANTWERP,Montreal,LTK,Weekly,27,334.5,434.5
SYRIA,LATTAKIA VIA ANTWERP,Toronto,LTK,Weekly,27,339.5,439.5
SYRIA,LATTAKIA VIA ANTWERP,Vancouver,LTK,Weekly,27,364.5,464.5
TAHITI,PAPEETE VIA AUCKLAND,Montreal,PPE,Bi Weekly,38,300,300
TAHITI,PAPEETE VIA AUCKLAND,Toronto,PPE,Bi Weekly,38,300,300
TAHITI,PAPEETE VIA AUCKLAND,Vancouver,PPE,Bi Weekly,38,315,345
TAHITI,PAPEETE VIA SINGAPORE/AUCKLAND,Montreal,PPE,Weekly,61,300,300
TAHITI,PAPEETE VIA SINGAPORE/AUCKLAND,Toronto,PPE,Weekly,61,315,315
TAHITI,PAPEETE VIA SINGAPORE/AUCKLAND,Vancouver,PPE,Weekly,61,295,295
TAIWAN,KAOHSIUNG VIA PUSAN,Montreal,KHH,Weekly,26,110,110
TAIWAN,KAOHSIUNG VIA PUSAN,Toronto,KHH,Weekly,26,110,110
TAIWAN,KAOHSIUNG VIA PUSAN,Vancouver,KHH,Weekly,26,110,110
TAIWAN,KEELUNG VIA BUSAN,Montreal,KEL,Weekly,24,110,110
TAIWAN,KEELUNG VIA BUSAN,Toronto,KEL,Weekly,24,110,110
TAIWAN,KEELUNG VIA BUSAN,Vancouver,KEL,Weekly,24,110,110
TAIWAN,TAICHUNG VIA HONG KONG,Montreal,TXG,Weekly,28,140,140
TAIWAN,TAICHUNG VIA HONG KONG,Toronto,TXG,Weekly,28,140,140
TAIWAN,TAICHUNG VIA HONG KONG,Vancouver,TXG,Weekly,28,140,140
TANZANIA,DAR ES SALAAM VIA DUBAI,Montreal,DAR,Weekly,35,202,202
TANZANIA,DAR ES SALAAM VIA DUBAI,Toronto,DAR,Weekly,35,202,202
TANZANIA,DAR ES SALAAM VIA DUBAI,Vancouver,DAR,Weekly,35,262,262
THAILAND,BANGKOK VIA BUSAN,Montreal,BKK,Weekly,30,115,115
THAILAND,BANGKOK VIA BUSAN,Toronto,BKK,Weekly,30,115,115
THAILAND,BANGKOK VIA BUSAN,Vancouver,BKK,Weekly,30,115,115
THAILAND,LAEM CHABANG VIA SINGAPORE,Montreal,LCB,Weekly,35,125,125
THAILAND,LAEM CHABANG VIA SINGAPORE,Toronto,LCB,Weekly,35,125,125
THAILAND,LAEM CHABANG VIA SINGAPORE,Vancouver,LCB,Weekly,35,115,115
THE GAMBIA,BANJUL VIA ANTWERP,Montreal,BJL,Weekly,33,334.5,334.5
THE GAMBIA,BANJUL VIA ANTWERP,Toronto,BJL,Weekly,33,339.5,339.5
THE GAMBIA,BANJUL VIA ANTWERP,Vancouver,BJL,Weekly,33,374.5,494.5
THE NETHERLANDS,ROTTERDAM VIA ANTWERP,Montreal,RTM,Weekly,12,109.5,109.5
THE NETHERLANDS,ROTTERDAM VIA ANTWERP,Toronto,RTM,Weekly,12,114.5,114.5
THE NETHERLANDS,ROTTERDAM VIA ANTWERP,Vancouver,RTM,Weekly,12,159.5,159.5
TOGO,LOME VIA ANTWERP,Montreal,LFW,Weekly,34,354.5,354.5
TOGO,LOME VIA ANTWERP,Toronto,LFW,Weekly,34,359.5,359.5
TOGO,LOME VIA ANTWERP,Vancouver,LFW,Weekly,34,399.5,399.5
TRINIDAD AND TOBAGO,POINT LISAS VIA MIAMI,Montreal,PTS,Weekly,7,225,225
TRINIDAD AND TOBAGO,POINT LISAS VIA MIAMI,Toronto,PTS,Weekly,7,225,225
TRINIDAD AND TOBAGO,POINT LISAS VIA MIAMI,Vancouver,PTS,Weekly,7,280,280
TRINIDAD AND TOBAGO,PORT OF SPAIN VIA MIAMI,Montreal,POS,Weekly,6,225,225
TRINIDAD AND TOBAGO,PORT OF SPAIN VIA MIAMI,Toronto,POS,Weekly,6,225,225
TRINIDAD AND TOBAGO,PORT OF SPAIN VIA MIAMI,Vancouver,POS,Weekly,6,280,280
TUNESIA,SFAX VIA BARCELONA,Montreal,SFA,Weekly,37,214.5,334.5
TUNESIA,SFAX VIA BARCELONA,Toronto,SFA,Weekly,37,219.5,339.5
TUNESIA,SFAX VIA BARCELONA,Vancouver,SFA,Weekly,44,269.5,389.5
TUNESIA,TUNIS VIA BARCELONA,Montreal,TUN,Weekly,30,194.5,194.5
TUNESIA,TUNIS VIA BARCELONA,Toronto,TUN,Weekly,30,199.5,199.5
TUNESIA,TUNIS VIA BARCELONA,Vancouver,TUN,Weekly,30,224.5,224.5
TURKEY,ISTANBUL VIA BARCELONA,Montreal,IST,Weekly,35,164.5,164.5
TURKEY,ISTANBUL VIA BARCELONA,Toronto,IST,Weekly,35,169.5,169.5
TURKEY,ISTANBUL VIA BARCELONA,Vancouver,IST,Weekly,35,209.5,209.5
TURKEY,IZMIR VIA BARCELONA/ISTANBUL,Montreal,IZM,Weekly,35,199.5,199.5
TURKEY,IZMIR VIA BARCELONA/ISTANBUL,Toronto,IZM,Weekly,35,204.5,204.5
TURKEY,IZMIR VIA BARCELONA/ISTANBUL,Vancouver,IZM,Weekly,35,249.5,249.5
TURKS AND CAICOS ISLANDS,PROVIDENCIALES VIA MIAMI,Montreal,PLS,Weekly,4,382.5,482.5
TURKS AND CAICOS ISLANDS,PROVIDENCIALES VIA MIAMI,Toronto,PLS,Weekly,4,382.5,482.5
TURKS AND CAICOS ISLANDS,PROVIDENCIALES VIA MIAMI,Vancouver,PLS,Weekly,4,452.5,512.5
U.A.E.,ABU DHABI VIA DUBAI,Montreal,AUH,Weekly,27,137,137
U.A.E.,ABU DHABI VIA DUBAI,Toronto,AUH,Weekly,27,142,142
U.A.E.,ABU DHABI VIA DUBAI,Vancouver,AUH,Weekly,27,202,202
U.A.E.,DUBAI / JEBEL ALI,Montreal,DXB,Weekly,21,137,137
U.A.E.,DUBAI / JEBEL ALI,Toronto,DXB,Weekly,21,137,137
U.A.E.,DUBAI / JEBEL ALI,Vancouver,DXB,Weekly,21,130,130
U.A.E.,SHARJAH VIA DUBAI,Montreal,SHJ,Weekly,27,147,147
U.A.E.,SHARJAH VIA DUBAI,Toronto,SHJ,Weekly,27,147,147
U.A.E.,SHARJAH VIA DUBAI,Vancouver,SHJ,Weekly,27,177,177
U.S.A.,HONOLULU VIA AUCKLAND,Montreal,HLU,Weekly,40,507.5,527.5
U.S.A.,HONOLULU VIA AUCKLAND,Toronto,HLU,Weekly,40,507.5,527.5
